message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.614408])";"30";"turtlesim3.sim";"1694795470.538982496";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.614408])";"30";"turtlesim2.sim";"1694795470.530611668";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.624474])";"30";"turtlesim3.sim";"1694795470.522106392";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.624474])";"30";"turtlesim2.sim";"1694795470.514865637";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.634540])";"30";"turtlesim3.sim";"1694795470.506281358";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.634540])";"30";"turtlesim2.sim";"1694795470.499113983";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.644606])";"30";"turtlesim3.sim";"1694795470.490960814";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.644606])";"30";"turtlesim2.sim";"1694795470.482438539";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.654672])";"30";"turtlesim3.sim";"1694795470.474349777";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.654672])";"30";"turtlesim2.sim";"1694795470.466601548";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.664738])";"30";"turtlesim3.sim";"1694795470.458474967";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.664738])";"30";"turtlesim2.sim";"1694795470.450789316";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.674804])";"30";"turtlesim3.sim";"1694795470.442528285";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.674804])";"30";"turtlesim2.sim";"1694795470.434872523";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.684871])";"30";"turtlesim3.sim";"1694795470.426752355";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.684871])";"30";"turtlesim2.sim";"1694795470.419010636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.694937])";"30";"turtlesim3.sim";"1694795470.409968319";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.694937])";"30";"turtlesim2.sim";"1694795470.403275671";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.705003])";"30";"turtlesim3.sim";"1694795470.394322248";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.705003])";"30";"turtlesim2.sim";"1694795470.386639131";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.715069])";"30";"turtlesim3.sim";"1694795470.378489870";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.715069])";"30";"turtlesim2.sim";"1694795470.371482882";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.725135])";"30";"turtlesim3.sim";"1694795470.362168692";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.725135])";"30";"turtlesim2.sim";"1694795470.354626352";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.735201])";"30";"turtlesim3.sim";"1694795470.346346382";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.735201])";"30";"turtlesim2.sim";"1694795470.338936699";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.745267])";"30";"turtlesim3.sim";"1694795470.330553102";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.745267])";"30";"turtlesim2.sim";"1694795470.323297601";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.755333])";"30";"turtlesim3.sim";"1694795470.315116345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.755333])";"30";"turtlesim2.sim";"1694795470.306668620";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.765400])";"30";"turtlesim3.sim";"1694795470.298129198";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.765400])";"30";"turtlesim2.sim";"1694795470.290932716";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.775466])";"30";"turtlesim3.sim";"1694795470.282343816";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.775466])";"30";"turtlesim2.sim";"1694795470.275135910";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.785532])";"30";"turtlesim3.sim";"1694795470.266959490";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.785532])";"30";"turtlesim2.sim";"1694795470.258422247";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.795598])";"30";"turtlesim3.sim";"1694795470.250482442";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.795598])";"30";"turtlesim2.sim";"1694795470.242725610";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.805664])";"30";"turtlesim3.sim";"1694795470.234134284";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.805664])";"30";"turtlesim2.sim";"1694795470.226907626";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.815730])";"30";"turtlesim3.sim";"1694795470.218013228";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.815730])";"30";"turtlesim2.sim";"1694795470.211210713";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.111105, y=7.825796])";"30";"turtlesim3.sim";"1694795470.202648323";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.111105, y=7.825796])";"30";"turtlesim2.sim";"1694795470.194949054";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.662704])";"30";"turtlesim1.sim";"1694795467.535673959";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.672770])";"30";"turtlesim1.sim";"1694795467.519387225";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.682836])";"30";"turtlesim1.sim";"1694795467.503850426";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.692902])";"30";"turtlesim1.sim";"1694795467.487410757";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.702968])";"30";"turtlesim1.sim";"1694795467.471891186";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.713034])";"30";"turtlesim1.sim";"1694795467.455419677";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.723101])";"30";"turtlesim1.sim";"1694795467.439900224";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.733167])";"30";"turtlesim1.sim";"1694795467.423581021";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.743233])";"30";"turtlesim1.sim";"1694795467.407215357";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.753299])";"30";"turtlesim1.sim";"1694795467.391851464";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.763365])";"30";"turtlesim1.sim";"1694795467.375489070";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.773431])";"30";"turtlesim1.sim";"1694795467.359279037";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.783497])";"30";"turtlesim1.sim";"1694795467.343806027";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.793564])";"30";"turtlesim1.sim";"1694795467.327554446";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.803630])";"30";"turtlesim1.sim";"1694795467.311372389";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.813696])";"30";"turtlesim1.sim";"1694795467.296061503";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.119265, y=7.823762])";"30";"turtlesim1.sim";"1694795467.279611759";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.089713, y=7.833828])";"30";"turtlesim1.sim";"1694795467.264168401";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.750892])";"30";"turtlesim1.sim";"1694795461.007606775";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.718912])";"30";"turtlesim1.sim";"1694795460.992047373";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.686931])";"30";"turtlesim1.sim";"1694795460.975530184";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.654951])";"30";"turtlesim1.sim";"1694795460.960053141";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.622970])";"30";"turtlesim1.sim";"1694795460.943752645";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.590989])";"30";"turtlesim1.sim";"1694795460.927309934";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.559009])";"30";"turtlesim1.sim";"1694795460.911844518";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.527028])";"30";"turtlesim1.sim";"1694795460.895478768";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.495047])";"30";"turtlesim1.sim";"1694795460.879162649";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.463067])";"30";"turtlesim1.sim";"1694795460.863926793";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.431086])";"30";"turtlesim1.sim";"1694795460.847609134";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.399106])";"30";"turtlesim1.sim";"1694795460.831419547";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.367125])";"30";"turtlesim1.sim";"1694795460.815234677";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.335144])";"30";"turtlesim1.sim";"1694795460.799904942";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.303164])";"30";"turtlesim1.sim";"1694795460.783522092";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.271183])";"30";"turtlesim1.sim";"1694795460.767236898";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.239202])";"30";"turtlesim1.sim";"1694795460.751921576";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.207222])";"30";"turtlesim1.sim";"1694795460.735513092";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.175241])";"30";"turtlesim1.sim";"1694795460.719288780";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.143260])";"30";"turtlesim1.sim";"1694795460.703958463";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.111280])";"30";"turtlesim1.sim";"1694795460.687457449";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.079299])";"30";"turtlesim1.sim";"1694795460.671445706";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.047319])";"30";"turtlesim1.sim";"1694795460.655196121";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=9.015338])";"30";"turtlesim1.sim";"1694795460.639290183";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.983357])";"30";"turtlesim1.sim";"1694795460.623315903";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.951377])";"30";"turtlesim1.sim";"1694795460.607500889";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.919396])";"30";"turtlesim1.sim";"1694795460.591645221";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.887415])";"30";"turtlesim1.sim";"1694795460.575460703";"./src/turtle.cpp:update:260"
